ID	EN
3103	approval of tariffs
2897	approximation of laws
2898	approximation of policies
2570	Apulia
2320	aquaculture
5741	aquatic environment
2411	aquatic plant
2328	Aquitaine
1793	Arab Common Market
1794	Arab Common Market countries
1657	Arab League
1658	Arab League countries
8300	Arab Maghreb Union  [V4.3]
2171	Arab organisation
4121	Arab-African cooperation
4448	arable land
8517	Arad  [V4.3]
2354	Aragon
2371	arbitrage
6617	arbitration
6005	arbitration clause
2396	arboriculture
2453	archaeology
5444	archipelago
4100	architectural heritage
2471	architecture
2492	archives
2503	Arctic
2109	Arctic Ocean
1157	area management
6222	area of freedom, security and justice
4337	area of holding
2525	Argentina
8521	Arges  [V4.3]
4785	arid zone
2628	armed forces
5445	Armenia
3499	Armenian question
3506	arms control
1365	arms industry
3455	arms limitation
3451	arms policy
2303	arms supply
7	arms trade
2948	aromatic plant
1503	arrangement of working time
3970	arrest
670	art education
5513	art trade
6040	artificial food colouring
3308	artificial insemination
3030	artificial intelligence
3307	artificial reproduction
7129	artist's resale right
283	artistic creation
3598	artistic profession
2688	arts
2820	Aruba
196	Arusha Convention
1643	asbestos
1838	ASEAN
1847	ASEAN countries
2838	Asia
120	Asian and Pacific Council
3725	Asian and Pacific Development Centre
6336	Asian Development Bank
2172	Asian organisation
2094	Asian Productivity Organisation
4615	Asian-Pacific Parliamentarians' Union
6131	Asia–Pacific economic cooperation
2708	assembly line production
4546	assembly line work
184	assessment
4397	assessment of prices
2909	assistance in training
8407	assistant  [V4.3]
6717	assisting spouse
5412	associated action for damages
2285	associated country
2944	association
1663	association agreement
7415	Association of Caribbean States
5657	association of local authorities
4153	associative movement
6383	astronautics
3790	astronomy
8441	asymmetric warfare  [V4.3]
3904	atheism
5443	Atlantic Arc
2110	Atlantic Ocean
3930	atlas
3967	atmosphere
89	atmospheric conditions
2522	atmospheric pollutant
2527	atmospheric pollution
5299	atom
5401	ATP Agreement
7889	Attica
4668	auction sale
5477	audio cassette
5185	audiovisual co-production
5191	audiovisual communications policy
487	audiovisual document
3855	audiovisual equipment
1366	audiovisual industry
5192	audiovisual piracy
5187	audiovisual production
5186	audiovisual programme
6064	audit
4675	auditing
2461	austerity policy
4160	Australia
4353	Austria
5254	authorised catch
3002	authoritarian regime
3336	automatic game
6901	automatic vending machine
4253	automation
6887	autonomist party
5119	autonomous community
1999	autonomous movement
5246	Autonomous Province of Bolzano
5247	Autonomous Province of Trento
5930	autonomous territories of Palestine
4272	autonomy
4364	Auvergne
3539	auxiliary worker
2127	available energy
466	available energy resources
2683	average price
8464	avian influenza  [V4.3]
3776	aviation fuel
20	award of contract
4398	axle tax
5388	axle weight
5454	Azerbaijan
5076	Azores
1240	baby food
8506	Bacau  [V4.3]
6618	backlog of court cases
3615	backwardness at school
5683	bad weather
4560	Baden-Württemberg
4567	Bahamas
4572	Bahrain
1272	bailiff
5031	bakery
4671	balance of payments
4884	balance sheet
4644	balance-of-payments deficit
1782	balance-sheet analysis
3386	Balearic Islands
4679	Bali
3425	ballistic missile
5064	ballot paper
1871	Baltic Sea
5774	Baltic States
4732	Bangladesh
4738	bank
3252	bank charges
408	bank deposit
5044	Bank for International Settlements
2149	banking
2447	banking policy
3612	banking profession
3994	banking secrecy
3251	banking supervision
4356	banking system
960	bankruptcy
7837	Banská Bystrica region
4819	bar
4816	Barbados
2316	barge
2044	barge carrier ship
2193	barley
2597	barring of penalties by limitation
5141	barrister
4573	barter
672	basic education
6781	basic needs
2650	basic price
3670	basic research
4823	Basilicata
2900	basis of tax assessment
2225	basket of currencies
2289	Basque Country
600	bathing water
3755	bauxite
4835	Bavaria
8445	bear  [V4.3]
3759	bearing
4682	beef
5012	beef animal
4883	beer
4317	beet sugar
3928	behavioural sciences
5458	Belarus
5517	Belgian communities
4839	Belgium
4588	Belgo-Luxembourg Economic Union
4841	Belize
